Trading Date,No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
2020-07-21,290,ICBP,Indofood CBP Sukses Makmur Tbk.,CDM-1XDAF2000051--------------,9325,0,21 Jul 2020,0,9425,9325,9325,0,7936100,74369047500,4086,345.7,9350,600,9325,612800,11661908000,11661908000,11661908000,5748400,3575700,954127,9119536175,4
2020-07-22,290,ICBP,Indofood CBP Sukses Makmur Tbk.,CDM-1XDAF2000051--------------,9325,0,22 Jul 2020,0,9425,9325,9375,50,5859000,54867877500,3473,347.5,9400,510700,9375,79400,11661908000,11661908000,11661908000,2448900,3708900,513000,4911462000,1
2020-07-23,290,ICBP,Indofood CBP Sukses Makmur Tbk.,CDM-1XDAF2000051--------------,9375,0,23 Jul 2020,0,9475,9375,9400,25,9044800,85156090000,4494,348.5,9425,419700,9400,518900,11661908000,11661908000,11661908000,1609000,4473300,50057,468859550,9
2020-07-24,290,ICBP,Indofood CBP Sukses Makmur Tbk.,--M-1XDAF2000051--------------,9400,0,24 Jul 2020,0,9325,9175,9175,-225,9935000,91500240000,6704,340.1,9200,11071600,9175,889500,11661908000,11661908000,11661908000,1693700,2087900,0,0,0
2020-07-27,290,ICBP,Indofood CBP Sukses Makmur Tbk.,--M-1XDAF2000051--------------,9175,0,27 Jul 2020,0,9300,9000,9000,-175,12846800,116836805000,7348,333.6,9025,500,9000,94400,11661908000,11661908000,11661908000,3493900,1658400,133,1209800,2
2020-07-28,290,ICBP,Indofood CBP Sukses Makmur Tbk.,XDM-1XDAF2000051--------------,9000,0,28 Jul 2020,0,9150,9000,9050,50,9219900,83734887500,5192,335.5,9050,1866900,9025,110700,11661908000,11661908000,11661908000,2633800,4214100,4143024,37287216000,2
2020-07-29,290,ICBP,Indofood CBP Sukses Makmur Tbk.,XDM-1XDAF2000051--------------,9050,0,29 Jul 2020,0,9125,9050,9125,75,6255400,56864287500,3941,338.3,9125,647600,9100,3100,11661908000,11661908000,11661908000,2501600,2789300,1220416,11087480400,2
2020-07-30,290,ICBP,Indofood CBP Sukses Makmur Tbk.,XDM-1XDAF2000051--------------,9125,0,30 Jul 2020,0,9200,9075,9200,75,8499300,77661430000,4231,341.1,9200,884700,9175,100,11661908000,11661908000,11661908000,6229600,5744300,65271,598860675,6
2020-08-03,290,ICBP,Indofood CBP Sukses Makmur Tbk.,XDM-1XDAF2000051--------------,9200,0,03 Agt 2020,0,9400,9075,9300,100,20483300,190019542500,12435,344.8,9300,50400,9275,53200,11661908000,11661908000,11661908000,5571800,9833300,1823836,16641118024,15
2020-08-04,290,ICBP,Indofood CBP Sukses Makmur Tbk.,XDM-1XDAF2000051--------------,9300,0,04 Agt 2020,0,10425,9200,10025,725,45798800,450489385000,22717,371.6,10050,85300,10025,187700,11661908000,11661908000,11661908000,4338900,12459900,867200,7987154800,2
2020-08-05,290,ICBP,Indofood CBP Sukses Makmur Tbk.,XDM-1XDAF2000051--------------,10025,0,05 Agt 2020,0,10625,9925,10550,525,25765000,265832000000,12195,391.1,10575,1100,10550,431000,11661908000,11661908000,11661908000,3017900,13155200,500133,4544867150,4
2020-08-06,290,ICBP,Indofood CBP Sukses Makmur Tbk.,XDM-1XDAF2000051--------------,10550,0,06 Agt 2020,0,10600,10325,10325,-225,11910700,123892935000,8626,382.8,10325,70700,10300,468000,11661908000,11661908000,11661908000,5166800,5812800,186196,1947798400,4
2020-08-07,290,ICBP,Indofood CBP Sukses Makmur Tbk.,XDM-1XDAF2000051--------------,10325,0,07 Agt 2020,0,10375,10075,10175,-150,11490600,117164222500,6661,377.2,10200,19000,10175,305700,11661908000,11661908000,11661908000,5435900,2196400,1000,10475000,2
2020-08-10,290,ICBP,Indofood CBP Sukses Makmur Tbk.,XDM-1XDAFA000051--------------,10175,0,10 Agt 2020,0,10250,10050,10175,0,8662600,87775840000,5502,377.2,10175,45800,10150,9400,11661908000,11661908000,11661908000,5445600,1621100,525033,5376335775,4
2020-08-11,290,ICBP,Indofood CBP Sukses Makmur Tbk.,XDM-1XDAFA000051--------------,10175,0,11 Agt 2020,0,10350,10125,10200,25,8829900,90254695000,4858,378.1,10225,21200,10200,32000,11661908000,11661908000,11661908000,6088500,4039900,403500,4107552300,2
2020-08-12,290,ICBP,Indofood CBP Sukses Makmur Tbk.,XDM-1XDAFA000051--------------,10200,0,12 Agt 2020,0,10300,10125,10150,-50,7687000,78111982500,4695,376.3,10175,95000,10150,175200,11661908000,11661908000,11661908000,2903200,3652200,141,1441578,4
2020-08-13,290,ICBP,Indofood CBP Sukses Makmur Tbk.,XDM-1XDAFA000051--------------,10150,0,13 Agt 2020,0,10275,10150,10250,100,8840200,90337847500,3724,380.0,10250,468100,10225,1500,11661908000,11661908000,11661908000,5008500,5062100,0,0,0
