Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
2023-01-19,14:27:00,,,Lending Facility Rate (Jan),6.50%,6.50%,6.25%
2023-01-19,14:30:00,,,Interest Rate Decision,5.75%,5.75%,5.50%
2023-01-23,All Day,,,Indonesia - Chinese New Year,,,
2023-01-24,10:00:00,,,M2 Money Supply (YoY) (Dec),8.30%,,9.50%
2023-01-24,11:00:00,,,Foreign Direct Investment (YoY) (Q4),43.30%,,63.60%
2023-02-01,11:00:00,,,Core Inflation (YoY) (Jan),3.27%,3.33%,3.36%
2023-02-01,11:00:00,,,Inflation (YoY) (Jan),5.28%,5.40%,5.51%
2023-02-01,11:00:00,,,Inflation (MoM) (Jan),0.34%,0.47%,0.66%
2023-02-06,11:14:00,,,GDP (YoY) (Q4),5.01%,4.84%,5.72%
2023-02-06,11:14:00,,,GDP (QoQ) (Q4),0.36%,0.33%,1.81%
2023-02-06,11:14:00,,,GDP Annual,5.31%,5.29%,3.69%
2023-02-07,11:00:00,,,FX Reserves (USD) (Jan),139.40B,,137.20B
2023-02-08,10:00:00,,,Consumer Confidence (Jan),123,,119.9
2023-02-09,11:00:00,,,Retail Sales (YoY) (Dec),0.70%,,1.30%
2023-02-13,13:00:00,,,Motorbike Sales (YoY) (Jan),37.00%,,24.60%
2023-02-14,11:00:00,,,Car Sales (YoY) (Jan),11.80%,,9.00%
2023-02-15,11:00:00,,,Export Growth (YoY) (Jan),16.37%,12.50%,6.58%
2023-02-15,11:00:00,,,Import Growth (YoY) (Jan),1.27%,1.50%,-6.61%
2023-02-15,11:00:00,,,Trade Balance (Jan),3.87B,3.35B,3.89B
2023-02-16,14:16:00,,,Loans (YoY) (Jan),10.53%,,11.35%
2023-02-16,14:21:00,,,Deposit Facility Rate (Feb),5.00%,5.00%,5.00%
2023-02-16,14:21:00,,,Lending Facility Rate (Feb),6.50%,6.50%,6.50%
2023-02-16,14:30:00,,,Interest Rate Decision,5.75%,5.75%,5.75%
2023-02-20,10:01:00,,,Balance of Payments (EUR) (Q4),4.7B,,-1.3B
2023-02-20,10:02:00,,,Current Account % of GDP (Q4),1.30%,,1.30%
2023-02-24,10:00:00,,,M2 Money Supply (YoY) (Jan),8.20%,,8.30%
