Trading Date,Open,High,Low,Close,Adj Close,Volume
2022-09-02 00:00:00+07:00,6950,7000,6875,6925,5100,26077700
2022-09-05 00:00:00+07:00,6900,6925,6850,6875,5063,24953800
2022-09-06 00:00:00+07:00,6875,6950,6850,6900,5082,18626800
2022-09-07 00:00:00+07:00,6800,6875,6625,6650,4898,77218400
2022-09-08 00:00:00+07:00,6650,6750,6625,6650,4898,39405200
2022-09-09 00:00:00+07:00,6675,6775,6625,6775,4990,31904200
2022-09-12 00:00:00+07:00,6775,6975,6725,6975,5137,51563200
2022-09-13 00:00:00+07:00,7025,7225,6950,7200,5303,70555900
2022-09-14 00:00:00+07:00,7100,7300,7050,7150,5266,56832100
2022-09-15 00:00:00+07:00,7125,7225,7050,7050,5192,63346200
2022-09-16 00:00:00+07:00,7000,7050,6900,6900,5082,65885100
2022-09-19 00:00:00+07:00,6950,7225,6925,7125,5247,52232700
2022-09-20 00:00:00+07:00,7150,7250,7100,7175,5284,47337700
2022-09-21 00:00:00+07:00,7125,7200,7100,7150,5266,26007500
2022-09-22 00:00:00+07:00,7025,7225,7000,7175,5284,26295200
2022-09-23 00:00:00+07:00,7100,7175,7050,7150,5266,22258800
2022-09-26 00:00:00+07:00,7000,7025,6850,6975,5137,61422800
2022-09-27 00:00:00+07:00,7000,7050,6950,6950,5119,42809400
2022-09-28 00:00:00+07:00,6950,7000,6800,6800,5008,50825400
2022-09-29 00:00:00+07:00,6850,6900,6700,6775,4990,36653400
2022-09-30 00:00:00+07:00,6700,6750,6600,6625,4879,71017400
2022-10-03 00:00:00+07:00,6650,6700,6600,6625,4879,27280600
2022-10-04 00:00:00+07:00,6725,6800,6700,6725,4953,33322400
2022-10-05 00:00:00+07:00,6800,6825,6675,6675,4916,31019300
2022-10-06 00:00:00+07:00,6675,6750,6600,6600,4861,37002600
2022-10-07 00:00:00+07:00,6550,6575,6450,6475,4769,54850200
2022-10-10 00:00:00+07:00,6425,6525,6375,6500,4787,34319700
2022-10-11 00:00:00+07:00,6400,6575,6400,6525,4806,35320000
2022-10-12 00:00:00+07:00,6450,6475,6350,6350,4741,72794100
2022-10-13 00:00:00+07:00,6375,6400,6275,6350,4741,44281200
2022-10-14 00:00:00+07:00,6500,6500,6350,6350,4741,45496900
2022-10-17 00:00:00+07:00,6325,6525,6200,6425,4797,50710300
2022-10-18 00:00:00+07:00,6450,6500,6350,6350,4741,42600400
2022-10-19 00:00:00+07:00,6425,6525,6400,6525,4871,25542800
2022-10-20 00:00:00+07:00,6500,6525,6400,6425,4797,32226200
2022-10-21 00:00:00+07:00,6475,6675,6450,6575,4909,52148500
2022-10-24 00:00:00+07:00,6575,6700,6575,6650,4965,37202900
2022-10-25 00:00:00+07:00,6700,6700,6600,6700,5002,37836000
2022-10-26 00:00:00+07:00,6700,6700,6575,6575,4909,36289700
2022-10-27 00:00:00+07:00,6575,6675,6525,6650,4965,30429800
2022-10-28 00:00:00+07:00,6650,6650,6500,6550,4890,28492900
2022-10-31 00:00:00+07:00,6550,6650,6550,6650,4965,45774000
2022-11-01 00:00:00+07:00,6650,6675,6475,6575,4909,59240700
2022-11-02 00:00:00+07:00,6525,6550,6375,6425,4797,59695600
2022-11-03 00:00:00+07:00,6375,6425,6350,6375,4759,29905800
2022-11-04 00:00:00+07:00,6350,6425,6350,6425,4797,60465200
2022-11-07 00:00:00+07:00,6425,6500,6425,6500,4853,41824000
2022-11-08 00:00:00+07:00,6500,6525,6450,6525,4871,35241500
2022-11-09 00:00:00+07:00,6525,6550,6475,6550,4890,45144800
2022-11-10 00:00:00+07:00,6550,6550,6450,6525,4871,33770400
2022-11-11 00:00:00+07:00,6600,6625,6450,6450,4815,50938200
2022-11-14 00:00:00+07:00,6450,6475,6300,6300,4703,46011200
2022-11-15 00:00:00+07:00,6300,6350,6200,6225,4647,65536000
