calendar_date,usd_idr
2022-05-01,14495.0
2022-05-02,14495.0
2022-05-03,14495.0
2022-05-04,14495.0
2022-05-05,14495.0
2022-05-06,14495.0
2022-05-07,14495.0
2022-05-08,14495.0
2022-05-09,14555.0
2022-05-10,14555.0
2022-05-11,14555.0
2022-05-12,14595.0
2022-05-13,14610.0
2022-05-14,14610.0
2022-05-15,14610.0
2022-05-16,14610.0
2022-05-17,14645.0
2022-05-18,14685.0
2022-05-19,14730.0
2022-05-20,14650.0
2022-05-21,14650.0
2022-05-22,14650.0
2022-05-23,14670.0
2022-05-24,14655.0
2022-05-25,14630.0
2022-05-26,14630.0
2022-05-27,14575.0
2022-05-28,14575.0
2022-05-29,14575.0
2022-05-30,14557.0
2022-05-31,14580.0
2022-06-01,14580.0
2022-06-02,14480.0
2022-06-03,14435.0
2022-06-04,14435.0
2022-06-05,14435.0
2022-06-06,14450.0
2022-06-07,14454.0
2022-06-08,14490.0
2022-06-09,14560.0
2022-06-10,14550.0
2022-06-11,14550.0
2022-06-12,14550.0
2022-06-13,14678.0
2022-06-14,14695.0
2022-06-15,14740.0
2022-06-16,14765.0
2022-06-17,14821.0
2022-06-18,14821.0
2022-06-19,14821.0
2022-06-20,14830.0
2022-06-21,14810.0
2022-06-22,14865.0
2022-06-23,14835.0
2022-06-24,14845.0
2022-06-25,14845.0
2022-06-26,14845.0
2022-06-27,14800.0
2022-06-28,14835.0
2022-06-29,14849.0
2022-06-30,14895.0
2022-07-01,14935.0
2022-07-02,14935.0
2022-07-03,14935.0
2022-07-04,14965.0
2022-07-05,14985.0
2022-07-06,14995.0
2022-07-07,14995.0
2022-07-08,14975.0
2022-07-09,14975.0
2022-07-10,14975.0
2022-07-11,14970.0
2022-07-12,14985.0
2022-07-13,14985.0
2022-07-14,14990.0
2022-07-15,14990.0
2022-07-16,14990.0
2022-07-17,14990.0
2022-07-18,14982.0
2022-07-19,14975.0
2022-07-20,14985.0
2022-07-21,15030.0
2022-07-22,15015.0
2022-07-23,15015.0
2022-07-24,15015.0
2022-07-25,14995.0
2022-07-26,14995.0
2022-07-27,15010.0
2022-07-28,14930.0
2022-07-29,14830.0
2022-07-30,14830.0
2022-07-31,14830.0
2022-08-01,14870.0
2022-08-02,14890.0
2022-08-03,14910.0
2022-08-04,14930.0
2022-08-05,14890.0
2022-08-06,14890.0
2022-08-07,14890.0
2022-08-08,14875.0
2022-08-09,14850.0
2022-08-10,14870.0
2022-08-11,14765.0
2022-08-12,14665.0
2022-08-13,14665.0
2022-08-14,14665.0
2022-08-15,14740.0
2022-08-16,14765.0
2022-08-17,14765.0
2022-08-18,14830.0
2022-08-19,14835.0
2022-08-20,14835.0
2022-08-21,14835.0
2022-08-22,14885.0
2022-08-23,14835.0
2022-08-24,14845.0
2022-08-25,14820.0
2022-08-26,14815.0
2022-08-27,14815.0
2022-08-28,14815.0
2022-08-29,14895.0
2022-08-30,14840.0
2022-08-31,14840.0
2022-09-01,14880.0
2022-09-02,14895.0
2022-09-03,14895.0
2022-09-04,14895.0
2022-09-05,14900.0
2022-09-06,14885.0
2022-09-07,14915.0
2022-09-08,14895.0
2022-09-09,14828.0
2022-09-10,14828.0
2022-09-11,14828.0
2022-09-12,14840.0
2022-09-13,14850.0
2022-09-14,14905.0
2022-09-15,14895.0
2022-09-16,14950.0
2022-09-17,14950.0
2022-09-18,14950.0
2022-09-19,14975.0
2022-09-20,14980.0
2022-09-21,14995.0
2022-09-22,15015.0
2022-09-23,15035.0
2022-09-24,15035.0
2022-09-25,15035.0
2022-09-26,15125.0
2022-09-27,15120.0
2022-09-28,15260.0
2022-09-29,15260.0
2022-09-30,15225.0
2022-10-01,15225.0
2022-10-02,15225.0
2022-10-03,15300.0
2022-10-04,15245.0
2022-10-05,15190.0
2022-10-06,15185.0
2022-10-07,15250.0
2022-10-08,15250.0
2022-10-09,15250.0
2022-10-10,15310.0
2022-10-11,15355.0
2022-10-12,15355.0
2022-10-13,15360.0
2022-10-14,15425.0
2022-10-15,15425.0
2022-10-16,15425.0
2022-10-17,15485.0
2022-10-18,15465.0
2022-10-19,15495.0
2022-10-20,15570.0
2022-10-21,15630.0
2022-10-22,15630.0
2022-10-23,15630.0
2022-10-24,15585.0
2022-10-25,15620.0
2022-10-26,15569.0
2022-10-27,15565.0
2022-10-28,15548.0
2022-10-29,15548.0
2022-10-30,15548.0
2022-10-31,15595.0
2022-11-01,15625.0
2022-11-02,15645.0
2022-11-03,15695.0
2022-11-04,15735.0
2022-11-05,15735.0
2022-11-06,15735.0
2022-11-07,15705.0
2022-11-08,15695.0
2022-11-09,15658.0
2022-11-10,15690.0
2022-11-11,15490.0
2022-11-12,15490.0
2022-11-13,15490.0
2022-11-14,15515.0
2022-11-15,15535.0
2022-11-16,15600.0
2022-11-17,15660.0
2022-11-18,15685.0
2022-11-19,15685.0
2022-11-20,15685.0
2022-11-21,15710.0
2022-11-22,15695.0
2022-11-23,15685.0
2022-11-24,15663.0
2022-11-25,15670.0
2022-11-26,15670.0
2022-11-27,15670.0
2022-11-28,15720.0
2022-11-29,15740.0
2022-11-30,15730.0
2022-12-01,15560.0
2022-12-02,15425.0
2022-12-03,15425.0
2022-12-04,15425.0
2022-12-05,15465.0
2022-12-06,15615.0
2022-12-07,15635.0
2022-12-08,15620.0
2022-12-09,15582.0
2022-12-10,15582.0
2022-12-11,15582.0
2022-12-12,15625.0
2022-12-13,15655.0
2022-12-14,15590.0
2022-12-15,15615.0
2022-12-16,15595.0
2022-12-17,15595.0
2022-12-18,15595.0
2022-12-19,15595.0
2022-12-20,15600.0
2022-12-21,15585.0
2022-12-22,15580.0
2022-12-23,15590.0
2022-12-24,15590.0
2022-12-25,15590.0
2022-12-26,15630.0
2022-12-27,15660.0
2022-12-28,15700.0
2022-12-29,15655.0
2022-12-30,15565.0
2022-12-31,15565.0
2023-01-01,15565.0
2023-01-02,15570.0
2023-01-03,15595.0
2023-01-04,15585.0
2023-01-05,15605.0
2023-01-06,15630.0
2023-01-07,15630.0
2023-01-08,15630.0
2023-01-09,15565.0
2023-01-10,15570.0
2023-01-11,15480.0
2023-01-12,15336.0
2023-01-13,15140.0
2023-01-14,15140.0
2023-01-15,15140.0
2023-01-16,15040.0
2023-01-17,15160.0
2023-01-18,15085.0
2023-01-19,15100.0
2023-01-20,15070.0
2023-01-21,15070.0
2023-01-22,15070.0
2023-01-23,15070.0
2023-01-24,14885.0
2023-01-25,14960.0
2023-01-26,14945.0
2023-01-27,14980.0
2023-01-28,14980.0
2023-01-29,14980.0
2023-01-30,14965.0
2023-01-31,14985.0
2023-02-01,14970.0
2023-02-02,14875.0
2023-02-03,14890.0
2023-02-04,14890.0
2023-02-05,14890.0
2023-02-06,15050.0
2023-02-07,15140.0
2023-02-08,15095.0
2023-02-09,15090.0
2023-02-10,15130.0
2023-02-11,15130.0
2023-02-12,15130.0
2023-02-13,15190.0
2023-02-14,15155.0
2023-02-15,15200.0
2023-02-16,15153.0
2023-02-17,15200.0
2023-02-18,15200.0
2023-02-19,15200.0
2023-02-20,15155.0
2023-02-21,15185.0
2023-02-22,15200.0
2023-02-23,15185.0
2023-02-24,15220.0
2023-02-25,15220.0
2023-02-26,15220.0
2023-02-27,15265.0
2023-02-28,15245.0
2023-03-01,15230.0
2023-03-02,15275.0
2023-03-03,15295.0
2023-03-04,15295.0
2023-03-05,15295.0
2023-03-06,15290.0
2023-03-07,15345.0
