Trading Date,Open,High,Low,Close,Volume,Bid Volume,Offer Volume,Foreign Sell,Foreign Buy
2022-12-08,10200,10225,10050,10200,4356600,3700,352900,2459100,1425400
2022-12-09,10200,10225,10025,10150,3016900,400,47000,1591300,1493100
2022-12-12,10100,10400,9925,10400,6467500,400,546000,2478200,2110500
2022-12-13,10400,10400,10200,10300,4973500,1300,41400,3625900,2226300
2022-12-14,10300,10325,10150,10325,2376800,5000,142700,1319500,1209900
2022-12-15,10300,10350,10200,10300,2578100,228900,100,1700600,2215900
2022-12-16,10300,10450,10250,10425,2578100,228900,100,1700600,2215900
2022-12-19,10400,10400,10150,10150,3409700,5600,1200,1546300,1553700
2022-12-20,10150,10300,10050,10300,2000400,700,105000,930000,1035900
2022-12-21,10275,10300,10200,10225,1493500,80000,100,972500,348000
2022-12-22,10225,10350,10025,10125,1339300,500,6400,720400,862800
2022-12-23,10125,10175,10000,10025,1559600,9800,10500,727100,729500
2022-12-26,10050,10150,10000,10150,1028000,29200,74000,18000,617400
2022-12-27,10150,10200,10050,10075,1338000,11600,600,176500,397100
2022-12-28,10125,10175,10000,10175,1242900,1000,78500,511400,257000
2022-12-29,10150,10175,9725,10175,3858600,3400,42400,1544700,824100
2022-12-30,10175,10175,10000,10000,1958000,262300,200,1576200,510100
2023-01-02,9975,10200,9975,10150,1242500,23900,4917900,99200,55400
2023-01-03,10100,10300,10100,10175,3169900,106600,3797700,352000,647300
2023-01-04,10225,10250,10025,10100,3973100,100,28000,1045600,1121100
2023-01-05,10100,10225,9875,10225,3774400,277300,149900,1452000,1045300
2023-01-06,10225,10300,10100,10175,6288100,1200,600,1500500,840100
2023-01-09,10150,10275,10150,10200,5830100,133600,7900,288100,992200
2023-01-10,10225,10275,10150,10200,12391700,449100,7900,2463500,2988000
2023-01-11,10200,10600,10200,10525,11425300,166300,51400,3000700,4480900
2023-01-12,10525,10525,10300,10450,5128400,52200,12600,3755700,627800
2023-01-13,10450,10475,10300,10450,7199800,5100,68600,4872200,1154100
2023-01-16,10450,10475,10200,10400,3851600,105100,211500,2083800,951100
2023-01-17,10325,10500,10300,10350,3597900,200,26300,869700,2118100
2023-01-18,10350,10475,10325,10475,1468700,95700,340100,317600,1170100
2023-01-19,10475,10500,10375,10500,3152800,300,28600,609500,1390800
2023-01-20,10500,10525,10325,10500,1883600,200,726700,934200,1183000
2023-01-24,10475,10475,10275,10400,1885700,3200,14400,330400,519300
2023-01-25,10400,10450,10300,10425,1264700,800,38400,322700,531100
2023-01-26,10425,10425,10000,10075,11246000,388800,20400,4639200,5901300
2023-01-27,10075,10125,9925,10000,6069600,28700,6300,2300400,3170100
2023-01-30,10000,10175,9950,10100,4761400,23400,13600,2344500,3254200
2023-01-31,10100,10375,10025,10100,13002500,2584300,3700,3778800,5918700
2023-02-01,10125,10375,10125,10375,6394700,1600,7300,806100,3578900
2023-02-02,10375,10400,10225,10250,2831900,50500,100,2108400,1139700
2023-02-03,10250,10500,10225,10475,6290200,300,1767100,733300,4043900
2023-02-06,10450,10475,10275,10275,3375400,167800,8500,1917200,1316600
